,S11,S12,S13,S14,S21,S22,S23,S24,S31,S32,S33,S34,S41,S42,S43,S44,wavelength
10,(0.00029945780970598405-1.6567812805650208e-05j),(0.0002086783375867364+0.00013738513465135854j),(-0.10990843913664745-0.04490199633019992j),(0.8656232957320649-0.4869207457318275j),(0.0002081355727739802+0.00013873734722837035j),(-0.0007481604466489534+0.00020437876263332868j),(0.2764794397087814+0.9511227398728287j),(0.10991552433789963+0.0449185362372288j),(0.10991552433789963+0.0449185362372288j),(0.2764794397087814+0.9511227398728287j),(-0.0007481604466489534+0.00020437876263332868j),(0.0002081355727739802+0.00013873734722837035j),(0.8656232957320649-0.4869207457318275j),(-0.10990843913664745-0.04490199633019992j),(0.0002086783375867364+0.00013738513465135854j),(0.00029945780970598405-1.6567812805650208e-05j),1.5946577629382306
11,(0.0003964704871838159+5.79988153020269e-05j),(0.00017989610235290667+0.00023452665166967784j),(-0.09943954230623353-0.06427015549518533j),(0.9264077627702738-0.3567002238561299j),(0.0001792943818469042+0.00023595277844483292j),(-0.0016315901849617903+9.279150159941635e-05j),(0.05540796365299611+0.9894296353965245j),(0.09945784064530626+0.06428039062528712j),(0.09945784064530626+0.06428039062528712j),(0.05540796365299611+0.9894296353965245j),(-0.0016315901849617903+9.279150159941635e-05j),(0.0001792943818469042+0.00023595277844483292j),(0.9264077627702738-0.3567002238561299j),(-0.09943954230623353-0.06427015549518533j),(0.00017989610235290667+0.00023452665166967784j),(0.0003964704871838159+5.79988153020269e-05j),1.5941255006675568
12,(0.0003099302181827828+6.825560660082627e-05j),(0.00010809298993326388+0.0003213605882153307j),(-0.08550878515873511-0.08125268888385799j),(0.9686885985199603-0.2188087936842382j),(0.00010748921373858636+0.00032274169297467534j),(-0.0026272952607550104-0.0006405493533354049j),(-0.16906520130102526+0.9759173704984561j),(0.08551105785383263+0.08125857432475421j),(0.08551105785383263+0.08125857432475421j),(-0.16906520130102526+0.9759173704984561j),(-0.0026272952607550104-0.0006405493533354049j),(0.00010748921373858636+0.00032274169297467534j),(0.9686885985199603-0.2188087936842382j),(-0.08550878515873511-0.08125268888385799j),(0.00010809298993326388+0.0003213605882153307j),(0.0003099302181827828+6.825560660082627e-05j),1.5935935935935936
13,(0.0002685652578108519+0.00022688948314092687j),(5.329781709894964e-07+0.0003794215442224565j),(-0.06875987680580913-0.09542975865645881j),(0.9901046749909651-0.0770590611179974j),(-2.3085096726088617e-07+0.00038078845089217024j),(-0.0035345641509115333-0.001661118065756392j),(-0.3851177829120941+0.9131576178626465j),(0.06876234101860353+0.09545108371868127j),(0.06876234101860353+0.09545108371868127j),(-0.3851177829120941+0.9131576178626465j),(-0.0035345641509115333-0.001661118065756392j),(-2.3085096726088617e-07+0.00038078845089217024j),(0.9901046749909651-0.0770590611179974j),(-0.06875987680580913-0.09542975865645881j),(5.329781709894964e-07+0.0003794215442224565j),(0.0002685652578108519+0.00022688948314092687j),1.5930620413609071
14,(0.00027301793898912606+0.00021062482555778183j),(-0.00013122923413252298+0.00039457830822968524j),(-0.049788556023327706-0.10612483613706122j),(0.9905915278572922+0.06725020903512467j),(-0.00013200099254640456+0.0003960065710454507j),(-0.0038865841317235177-0.003146433266682952j),(-0.5805135824505779+0.8028031126599585j),(0.04979836199668695+0.10613700158306302j),(0.04979836199668695+0.10613700158306302j),(-0.5805135824505779+0.8028031126599585j),(-0.0038865841317235177-0.003146433266682952j),(-0.00013200099254640456+0.0003960065710454507j),(0.9905915278572922+0.06725020903512467j),(-0.049788556023327706-0.10612483613706122j),(-0.00013122923413252298+0.00039457830822968524j),(0.00027301793898912606+0.00021062482555778183j),1.592530843614538
15,(0.00010460514680683446+0.00023643336931202853j),(-0.0002683398119772116+0.00036000226394185345j),(-0.029121760700144547-0.11313832147341092j),(0.9710233155708092+0.20963071330606045j),(-0.00026915271893036293+0.00036128026037075735j),(-0.0038739289480134607-0.0049423311292177904j),(-0.7470732126824465+0.6508978202097123j),(0.02911513388729398+0.1131478501111297j),(0.02911513388729398+0.1131478501111297j),(-0.7470732126824465+0.6508978202097123j),(-0.0038739289480134607-0.0049423311292177904j),(-0.00026915271893036293+0.00036128026037075735j),(0.9710233155708092+0.20963071330606045j),(-0.029121760700144547-0.11313832147341092j),(-0.0002683398119772116+0.00036000226394185345j),(0.00010460514680683446+0.00023643336931202853j),1.592
16,(0.0001010542271431017+0.0003118390946462929j),(-0.0003905169617864422+0.0002738637781631756j),(-0.007687272805519695-0.11624113335158844j),(0.9301400679101349+0.34748808895838845j),(-0.0003914950939786124+0.0002751613020612979j),(-0.003158420127124445-0.006561671793822647j),(-0.8745521498853452+0.4663019579554152j),(0.007683266430821584+0.11626120540688957j),(0.007683266430821584+0.11626120540688957j),(-0.8745521498853452+0.4663019579554152j),(-0.003158420127124445-0.006561671793822647j),(-0.0003914950939786124+0.0002751613020612979j),(0.9301400679101349+0.34748808895838845j),(-0.007687272805519695-0.11624113335158844j),(-0.0003905169617864422+0.0002738637781631756j),(0.0001010542271431017+0.0003118390946462929j),1.591469510163279
17,(1.0925309220622442e-05+0.00020572801497515286j),(-0.00047984911847405307+0.00014468983127591676j),(0.013927294092577525-0.11521594663535419j),(0.8702903185888735+0.4788167891009942j),(-0.00048075293097416205+0.00014601221377993253j),(-0.0017417742132986786-0.00810625235333446j),(-0.9568435542933952+0.2565715108016979j),(-0.013925545845935966+0.115226415644414j),(-0.013925545845935966+0.115226415644414j),(-0.9568435542933952+0.2565715108016979j),(-0.0017417742132986786-0.00810625235333446j),(-0.00048075293097416205+0.00014601221377993253j),(0.8702903185888735+0.4788167891009942j),(0.013927294092577525-0.11521594663535419j),(-0.00047984911847405307+0.00014468983127591676j),(1.0925309220622442e-05+0.00020572801497515286j),1.590939373750833
18,(-0.0001232117878029106+0.00022539560513890937j),(-0.0005197942408188042-1.2596452172875463e-05j),(0.034955022285305046-0.11033224135129824j),(0.7922495471367843+0.5991940190515687j),(-0.0005207613060793225-1.145307966749395e-05j),(-3.07573954332634e-06-0.009091526977966616j),(-0.9907379197499218+0.03427046958256962j),(-0.034968330796018424+0.11034026553720984j),(-0.034968330796018424+0.11034026553720984j),(-0.9907379197499218+0.03427046958256962j),(-3.07573954332634e-06-0.009091526977966616j),(-0.0005207613060793225-1.145307966749395e-05j),(0.7922495471367843+0.5991940190515687j),(0.034955022285305046-0.11033224135129824j),(-0.0005197942408188042-1.2596452172875463e-05j),(-0.0001232117878029106+0.00022539560513890937j),1.5904095904095905
19,(-8.738590258541373e-05+0.00016128502264968654j),(-0.0005026880454190786-0.00017961076146076122j),(0.05454153858168963-0.10161565377827578j),(0.6968218000591004+0.7075757262979994j),(-0.0005037883453788375-0.00017839990020856672j),(0.002204674854046899-0.009328475453577855j),(-0.9724338368791117-0.18968359290860082j),(-0.05455152250749679+0.10163324641838728j),(-0.05455152250749679+0.10163324641838728j),(-0.9724338368791117-0.18968359290860082j),(0.002204674854046899-0.009328475453577855j),(-0.0005037883453788375-0.00017839990020856672j),(0.6968218000591004+0.7075757262979994j),(0.05454153858168963-0.10161565377827578j),(-0.0005026880454190786-0.00017961076146076122j),(-8.738590258541373e-05+0.00016128502264968654j),1.589880159786951
