,S11,S12,S13,S14,S21,S22,S23,S24,S31,S32,S33,S34,S41,S42,S43,S44,wavelength
30,(0.00040957767796174756-8.441133378735582e-05j),(0.00024195968605440516+0.0002797263996572376j),(0.06264772649759295+0.09198110215973998j),(-0.7260523763485051+0.6789723357463483j),(0.00024048437261195492+0.0002806755293853923j),(0.0005616543543576885+0.00039143604694143235j),(0.895478375666921-0.42638178094591095j),(-0.0626607103770166-0.09199318187550896j),(-0.0626607103770166-0.09199318187550896j),(0.895478375666921-0.42638178094591095j),(0.0005616543543576885+0.00039143604694143235j),(0.00024048437261195492+0.0002806755293853923j),(-0.7260523763485051+0.6789723357463483j),(0.06264772649759295+0.09198110215973998j),(0.00024195968605440516+0.0002797263996572376j),(0.00040957767796174756-8.441133378735582e-05j),1.5840796019900498
31,(0.000324721822243013-4.972414525430355e-06j),(0.00011085302503260712+0.00031759482486441205j),(0.044442013289912985+0.1016827055666648j),(-0.8161473054229522+0.5666632851987732j),(0.00010930991251499273+0.0003184283140358782j),(0.00012061608635979196-0.0009001400811254198j),(0.9682492298361138-0.21373185825013416j),(-0.04443829142655784-0.1016900787661612j),(-0.04443829142655784-0.1016900787661612j),(0.9682492298361138-0.21373185825013416j),(0.00012061608635979196-0.0009001400811254198j),(0.00010930991251499273+0.0003184283140358782j),(-0.8161473054229522+0.5666632851987732j),(0.044442013289912985+0.1016827055666648j),(0.00011085302503260712+0.00031759482486441205j),(0.000324721822243013-4.972414525430355e-06j),1.583554376657825
32,(0.0003678295177760678+0.00014582714978606548j),(-1.761559061101589e-05+0.0003023063486853267j),(0.024686125999300153+0.10774386902912103j),(-0.8900785006044439+0.442246030344709j),(-1.9297968641177256e-05+0.00030311876403295014j),(0.0003071316289297385-0.0019485520084000804j),(0.991438378532465+0.011131799379805053j),(-0.024683709128434293-0.10776624072234113j),(-0.024683709128434293-0.10776624072234113j),(0.991438378532465+0.011131799379805053j),(0.0003071316289297385-0.0019485520084000804j),(-1.9297968641177256e-05+0.00030311876403295014j),(-0.8900785006044439+0.442246030344709j),(0.024686125999300153+0.10774386902912103j),(-1.761559061101589e-05+0.0003023063486853267j),(0.0003678295177760678+0.00014582714978606548j),1.5830294995028176
33,(0.0003290462391354905+0.0001253007541628887j),(-0.00012497644836250845+0.0002407857018169369j),(0.0042468515435488685+0.11017411726809809j),(-0.9446723557441649+0.30932405609240926j),(-0.00012662774041417992+0.0002415580243087742j),(0.001042483913911663-0.0028756926664355005j),(0.9638903242830239+0.23438761819208018j),(-0.004251765221017411-0.11018424922455311j),(-0.004251765221017411-0.11018424922455311j),(0.9638903242830239+0.23438761819208018j),(0.001042483913911663-0.0028756926664355005j),(-0.00012662774041417992+0.0002415580243087742j),(-0.9446723557441649+0.30932405609240926j),(0.0042468515435488685+0.11017411726809809j),(-0.00012497644836250845+0.0002407857018169369j),(0.0003290462391354905+0.0001253007541628887j),1.5825049701789267
34,(0.00019543614649426036+0.00024176845298023105j),(-0.00019457031678040096+0.00014650433619241385j),(-0.016141912025211383+0.1086527129902146j),(-0.9791937886121785+0.16884650844503385j),(-0.0001962995460834174+0.00014710382640700751j),(0.0018711390008576685-0.0032994637035005723j),(0.8854415379013989+0.44595487036103265j),(0.016155134364268964-0.10866090562336714j),(0.016155134364268964-0.10866090562336714j),(0.8854415379013989+0.44595487036103265j),(0.0018711390008576685-0.0032994637035005723j),(-0.0001962995460834174+0.00014710382640700751j),(-0.9791937886121785+0.16884650844503385j),(-0.016141912025211383+0.1086527129902146j),(-0.00019457031678040096+0.00014650433619241385j),(0.00019543614649426036+0.00024176845298023105j),1.5819807883405104
35,(0.0002110752426339144+0.0002782566421142008j),(-0.00021814473446817742+3.6075457244853474e-05j),(-0.03597583690194748+0.10341813299996475j),(-0.9939368330830869+0.02536852619865442j),(-0.00021997363949270344+3.668514409424713e-05j),(0.002909833395663937-0.0031339828072725023j),(0.7622101628777417+0.6349765374273907j),(0.03598335126240827-0.10343822660727542j),(0.03598335126240827-0.10343822660727542j),(0.7622101628777417+0.6349765374273907j),(0.002909833395663937-0.0031339828072725023j),(-0.00021997363949270344+3.668514409424713e-05j),(-0.9939368330830869+0.02536852619865442j),(-0.03597583690194748+0.10341813299996475j),(-0.00021814473446817742+3.6075457244853474e-05j),(0.0002110752426339144+0.0002782566421142008j),1.5814569536423841
36,(6.31243041608361e-05+0.0002039081421565608j),(-0.0001949151626693216-6.968604773116597e-05j),(-0.054320226224036296+0.09470774675349625j),(-0.9867186044819752-0.1184755821065614j),(-0.0001966788599863335-6.91641288080475e-05j),(0.0037057000658054164-0.002697229031184415j),(0.5991769433576276+0.7901922476015703j),(0.05432486719160466-0.09471114814546767j),(0.05432486719160466-0.09471114814546767j),(0.5991769433576276+0.7901922476015703j),(0.0037057000658054164-0.002697229031184415j),(-0.0001966788599863335-6.91641288080475e-05j),(-0.9867186044819752-0.1184755821065614j),(-0.054320226224036296+0.09470774675349625j),(-0.0001949151626693216-6.968604773116597e-05j),(6.31243041608361e-05+0.0002039081421565608j),1.5809334657398213
37,(9.829547802603603e-06+0.0002872036208250071j),(-0.00013018085171591378-0.00015321537771966734j),(-0.07069776076688807+0.08264372606092174j),(-0.9592292347275252-0.2606800541214496j),(-0.0001320319443833629-0.00015284739379554466j),(0.004047386008644262-0.0017847288624608928j),(0.4047053915450642+0.9055277968449432j),(0.0707154450061478-0.08264639223758365j),(0.0707154450061478-0.08264639223758365j),(0.4047053915450642+0.9055277968449432j),(0.004047386008644262-0.0017847288624608928j),(-0.0001320319443833629-0.00015284739379554466j),(-0.9592292347275252-0.2606800541214496j),(-0.07069776076688807+0.08264372606092174j),(-0.00013018085171591378-0.00015321537771966734j),(9.829547802603603e-06+0.0002872036208250071j),1.5804103242885503
38,(-1.9539103603116565e-05+0.00020332370608835244j),(-3.810007611824483e-05-0.00020109517916753287j),(-0.08459391225275749+0.06790583651584581j),(-0.9118051106321837-0.39641851647213466j),(-3.998537808561132e-05-0.00020071437500098394j),(0.0041077021389136215-0.0008238108162032724j),(0.19020997681038185+0.9736619631294609j),(0.08460218858096817-0.0679204174128456j),(0.08460218858096817-0.0679204174128456j),(0.19020997681038185+0.9736619631294609j),(0.0041077021389136215-0.0008238108162032724j),(-3.998537808561132e-05-0.00020071437500098394j),(-0.9118051106321837-0.39641851647213466j),(-0.08459391225275749+0.06790583651584581j),(-3.810007611824483e-05-0.00020109517916753287j),(-1.9539103603116565e-05+0.00020332370608835244j),1.579887528944757
39,(-0.00016280366668269456+0.00012727797452024667j),(6.472346273870281e-05-0.00020460286370183807j),(-0.09534626411368911+0.050884605854903245j),(-0.8442238059377887-0.524368567207478j),(6.288451623676848e-05-0.00020433708720662174j),(0.0035454893793883525-7.305880754717275e-05j),(-0.03510087934911802+0.9910758474166859j),(0.09535377085064999-0.05088103784146474j),(0.09535377085064999-0.05088103784146474j),(-0.03510087934911802+0.9910758474166859j),(0.0035454893793883525-7.305880754717275e-05j),(6.288451623676848e-05-0.00020433708720662174j),(-0.8442238059377887-0.524368567207478j),(-0.09534626411368911+0.050884605854903245j),(6.472346273870281e-05-0.00020460286370183807j),(-0.00016280366668269456+0.00012727797452024667j),1.5793650793650795
40,(-0.00014169573601844644+0.000116102479384865j),(0.00016026838639019504-0.0001647803758418865j),(-0.102831482773599+0.032139757949043314j),(-0.7598273853339917-0.6415376305855035j),(0.0001583465094155822-0.00016460894768106804j),(0.0026845005239907955+0.0005390112988872649j),(-0.25821044509638175+0.958108528641763j),(0.1028531397506691-0.03214082168572138j),(0.1028531397506691-0.03214082168572138j),(-0.25821044509638175+0.958108528641763j),(0.0026845005239907955+0.0005390112988872649j),(0.0001583465094155822-0.00016460894768106804j),(-0.7598273853339917-0.6415376305855035j),(-0.102831482773599+0.032139757949043314j),(0.00016026838639019504-0.0001647803758418865j),(-0.00014169573601844644+0.000116102479384865j),1.5788429752066118
41,(-0.00014100172707949492-5.447222320801392e-05j),(0.00023057455751623158-8.830255511132413e-05j),(-0.10668311913538467+0.012520570242838504j),(-0.6588764273802347-0.7442958669139418j),(0.0002286778325989484-8.815861147709324e-05j),(0.0017416147450079707+0.0005363660718468009j),(-0.46769693988726063+0.8746023873601597j),(0.10669136433301732-0.012525812104811879j),(0.10669136433301732-0.012525812104811879j),(-0.46769693988726063+0.8746023873601597j),(0.0017416147450079707+0.0005363660718468009j),(0.0002286778325989484-8.815861147709324e-05j),(-0.6588764273802347-0.7442958669139418j),(-0.10668311913538467+0.012520570242838504j),(0.00023057455751623158-8.830255511132413e-05j),(-0.00014100172707949492-5.447222320801392e-05j),1.5783212161269005
42,(-0.0001902534223568371-8.025849172725195e-05j),(0.000264316586993951+1.2158592890375863e-05j),(-0.10674721845394158-0.0075058912048794535j),(-0.5437231991712032-0.8323481921337804j),(0.0002624024707766403+1.218608905826004e-05j),(0.0006679627348050753+9.904520413152178e-05j),(-0.6538896182977443+0.7462926013482807j),(0.10675707431940078+0.007517452313764393j),(0.10675707431940078+0.007517452313764393j),(-0.6538896182977443+0.7462926013482807j),(0.0006679627348050753+9.904520413152178e-05j),(0.0002624024707766403+1.218608905826004e-05j),(-0.5437231991712032-0.8323481921337804j),(-0.10674721845394158-0.0075058912048794535j),(0.000264316586993951+1.2158592890375863e-05j),(-0.0001902534223568371-8.025849172725195e-05j),1.5777998017839447
43,(-6.066494426705359e-05-0.00014278620333041994j),(0.0002548546301739717+0.00011867795254485003j),(-0.10322456068757957-0.027121236258064528j),(-0.4179682648772584-0.9023678353329032j),(0.00025289488939023017+0.00011867345898464355j),(2.3186283188200288e-05-0.0006718221474993979j),(-0.8052757163169627+0.5795759945507737j),(0.10324360949482357+0.027125343352580912j),(0.10324360949482357+0.027125343352580912j),(-0.8052757163169627+0.5795759945507737j),(2.3186283188200288e-05-0.0006718221474993979j),(0.00025289488939023017+0.00011867345898464355j),(-0.4179682648772584-0.9023678353329032j),(-0.10322456068757957-0.027121236258064528j),(0.0002548546301739717+0.00011867795254485003j),(-6.066494426705359e-05-0.00014278620333041994j),1.5772787318361958
44,(-5.460418010818325e-05-0.0002651531965145114j),(0.0002028063256870257+0.0002146564558585243j),(-0.09605100446624958-0.04560977062954712j),(-0.28241079727664953-0.9530528541216108j),(0.0002008775853051181+0.00021454782634457292j),(-0.00024134102419700863-0.0018937317667021445j),(-0.9155337102168749+0.38192874832476836j),(0.09605534793582049+0.045613144231206576j),(0.09605534793582049+0.045613144231206576j),(-0.9155337102168749+0.38192874832476836j),(-0.00024134102419700863-0.0018937317667021445j),(0.0002008775853051181+0.00021454782634457292j),(-0.28241079727664953-0.9530528541216108j),(-0.09605100446624958-0.04560977062954712j),(0.0002028063256870257+0.0002146564558585243j),(-5.460418010818325e-05-0.0002651531965145114j),1.5767580059425552
45,(1.0815053689051232e-05-0.0002101636198379006j),(0.00011717555274462611+0.0002838594132463919j),(-0.08561823866979239-0.06250664502282344j),(-0.1413222552698194-0.9845097775752019j),(0.00011515945791774117+0.0002836457546347045j),(-7.90989961924256e-05-0.0030116395940939238j),(-0.978627284815699+0.16550933794363784j),(0.08562596219616439+0.06252382324262705j),(0.08562596219616439+0.06252382324262705j),(-0.978627284815699+0.16550933794363784j),(-7.90989961924256e-05-0.0030116395940939238j),(0.00011515945791774117+0.0002836457546347045j),(-0.1413222552698194-0.9845097775752019j),(-0.08561823866979239-0.06250664502282344j),(0.00011717555274462611+0.0002838594132463919j),(1.0815053689051232e-05-0.0002101636198379006j),1.5762376237623763
46,(0.0001598538875135463-0.0002725953248630843j),(1.0208830022890549e-05+0.00031467016605711887j),(-0.07233902356888769-0.07703394549215918j),(0.0024646217924527342-0.9942489936354549j),(8.214475704971826e-06+0.0003144376833045853j),(0.0007663377677848232-0.004010334742591132j),(-0.9901089674279437-0.06011417878492068j),(0.07235163536164281+0.07704189119850345j),(0.07235163536164281+0.07704189119850345j),(-0.9901089674279437-0.06011417878492068j),(0.0007663377677848232-0.004010334742591132j),(8.214475704971826e-06+0.0003144376833045853j),(0.0024646217924527342-0.9942489936354549j),(-0.07233902356888769-0.07703394549215918j),(1.0208830022890549e-05+0.00031467016605711887j),(0.0001598538875135463-0.0002725953248630843j),1.5757175849554605
47,(0.00015052790030094072-0.00026489232972937734j),(-0.0001009713611580602+0.00030330286011881496j),(-0.05653188785082367-0.08882538907480207j),(0.14709489452376087-0.9834216207994503j),(-0.00010293967441452763+0.000302879549991919j),(0.0018399075909215446-0.004728612702731111j),(-0.951401018135141-0.2829059622732956j),(0.05653014362776685+0.08883447314507217j),(0.05653014362776685+0.08883447314507217j),(-0.951401018135141-0.2829059622732956j),(0.0018399075909215446-0.004728612702731111j),(-0.00010293967441452763+0.000302879549991919j),(0.14709489452376087-0.9834216207994503j),(-0.05653188785082367-0.08882538907480207j),(-0.0001009713611580602+0.00030330286011881496j),(0.00015052790030094072-0.00026489232972937734j),1.575197889182058
48,(0.0002740390564947112-0.0001561683934542682j),(-0.00019888188083898813+0.00025061245035382253j),(-0.03895994962610202-0.09751067375823382j),(0.28773384107038247-0.9521327429735024j),(-0.0002009468743557054+0.00025012482718028413j),(0.003165177603798191-0.004758372412150957j),(-0.8627678718796467-0.49008726158509547j),(0.03896241337372778+0.0975300676629663j),(0.03896241337372778+0.0975300676629663j),(-0.8627678718796467-0.49008726158509547j),(0.003165177603798191-0.004758372412150957j),(-0.0002009468743557054+0.00025012482718028413j),(0.28773384107038247-0.9521327429735024j),(-0.03895994962610202-0.09751067375823382j),(-0.00019888188083898813+0.00025061245035382253j),(0.0002740390564947112-0.0001561683934542682j),1.5746785361028686
49,(0.0003370617764375511-0.00018320091508178358j),(-0.0002700180770224915+0.00016567442622327452j),(-0.020115018939916796-0.10265513204556836j),(0.42272835873812414-0.8998667146534853j),(-0.0002719793927360857+0.0001651397160001006j),(0.004556419333260386-0.004398763424504803j),(-0.7291202743075615-0.6730639832482054j),(0.020119453300370963+0.10266421955920897j),(0.020119453300370963+0.10266421955920897j),(-0.7291202743075615-0.6730639832482054j),(0.004556419333260386-0.004398763424504803j),(-0.0002719793927360857+0.0001651397160001006j),(0.42272835873812414-0.8998667146534853j),(-0.020115018939916796-0.10265513204556836j),(-0.0002700180770224915+0.00016567442622327452j),(0.0003370617764375511-0.00018320091508178358j),1.5741595253790377
50,(0.00029954309214051596-5.73833095712374e-05j),(-0.0003032193012264705+6.25329930553052e-05j),(-0.0006463556522242164-0.10430256772130271j),(0.5491242181929961-0.8294606573446286j),(-0.00030517534085768917+6.177935773795949e-05j),(0.005514155590255683-0.003497905251883932j),(-0.5587108655048655-0.8205707545183312j),(0.000637490899078053+0.10431316666006595j),(0.000637490899078053+0.10431316666006595j),(-0.5587108655048655-0.8205707545183312j),(0.005514155590255683-0.003497905251883932j),(-0.00030517534085768917+6.177935773795949e-05j),(0.5491242181929961-0.8294606573446286j),(-0.0006463556522242164-0.10430256772130271j),(-0.0003032193012264705+6.25329930553052e-05j),(0.00029954309214051596-5.73833095712374e-05j),1.5736408566721583
51,(0.0003932340972325275+3.154102449494899e-05j),(-0.0002952125720540645-4.3817960563322985e-05j),(0.01861758848345743-0.10228062284566758j),(0.6630987644818939-0.7411133205551764j),(-0.00029721944680610534-4.4594478163379e-05j),(0.006199470593190365-0.0021574116911864376j),(-0.35811197497800007-0.9252146183507222j),(-0.018621665504206526+0.10229843164555118j),(-0.018621665504206526+0.10229843164555118j),(-0.35811197497800007-0.9252146183507222j),(0.006199470593190365-0.0021574116911864376j),(-0.00029721944680610534-4.4594478163379e-05j),(0.6630987644818939-0.7411133205551764j),(0.01861758848345743-0.10228062284566758j),(-0.0002952125720540645-4.3817960563322985e-05j),(0.0003932340972325275+3.154102449494899e-05j),1.573122529644269
52,(0.00032373539881282165+3.8166766225524734e-05j),(-0.0002495641239926238-0.0001360470423149685j),(0.037214637756289366-0.09667723571669411j),(0.7639371033519178-0.6367798224186167j),(-0.0002514171285133039-0.00013691363096077466j),(0.006304689089663329-0.0008601961187315957j),(-0.13948332200433175-0.9830183662929252j),(-0.03721796303232808+0.09668363780701417j),(-0.03721796303232808+0.09668363780701417j),(-0.13948332200433175-0.9830183662929252j),(0.006304689089663329-0.0008601961187315957j),(-0.0002514171285133039-0.00013691363096077466j),(0.7639371033519178-0.6367798224186167j),(0.037214637756289366-0.09667723571669411j),(-0.0002495641239926238-0.0001360470423149685j),(0.00032373539881282165+3.8166766225524734e-05j),1.572604543957853
53,(0.0002725656396989618+0.00018966548889040195j),(-0.00017416500807129032-0.00020107150523204905j),(0.05435737378999723-0.087858306912158j),(0.8482484962217032-0.5197812237772022j),(-0.00017602783901662203-0.00020211707601713397j),(0.005778497322706028+0.0005036750132658185j),(0.08600188206320808-0.9886528510338289j),(-0.05437276113575388+0.08786584115687587j),(-0.05437276113575388+0.08786584115687587j),(0.08600188206320808-0.9886528510338289j),(0.005778497322706028+0.0005036750132658185j),(-0.00017602783901662203-0.00020211707601713397j),(0.8482484962217032-0.5197812237772022j),(0.05435737378999723-0.087858306912158j),(-0.00017416500807129032-0.00020107150523204905j),(0.0002725656396989618+0.00018966548889040195j),1.5720868992758394
54,(0.0002839279630697499+0.00018816284656195684j),(-8.370956611084952e-05-0.0002309166253819381j),(0.0694592618804431-0.07593698357331373j),(0.9143420850963373-0.3909262571042367j),(-8.554756458789476e-05-0.00023195534391466552j),(0.00498881565585175+0.0015225880244841893j),(0.3082289365222437-0.9435184623091986j),(-0.06946849182534391+0.07594960802015503j),(-0.06946849182534391+0.07594960802015503j),(0.3082289365222437-0.9435184623091986j),(0.00498881565585175+0.0015225880244841893j),(-8.554756458789476e-05-0.00023195534391466552j),(0.9143420850963373-0.3909262571042367j),(0.0694592618804431-0.07593698357331373j),(-8.370956611084952e-05-0.0002309166253819381j),(0.0002839279630697499+0.00018816284656195684j),1.5715695952615993
55,(0.00013044816680812574+0.00020358515050343626j),(6.4237628336078e-06-0.0002220468812902107j),(0.08216168090785811-0.06150078646935606j),(0.9619022367591756-0.2541706387105455j),(4.724978714779545e-06-0.00022320933995326013j),(0.003767566970233519+0.002000858387687554j),(0.5133377762306898-0.8499072537135911j),(-0.08217008466368703+0.06150044703116069j),(-0.08217008466368703+0.06150044703116069j),(0.5133377762306898-0.8499072537135911j),(0.003767566970233519+0.002000858387687554j),(4.724978714779545e-06-0.00022320933995326013j),(0.9619022367591756-0.2541706387105455j),(0.08216168090785811-0.06150078646935606j),(6.4237628336078e-06-0.0002220468812902107j),(0.00013044816680812574+0.00020358515050343626j),1.5710526315789475
56,(0.00010525540968320008+0.0002701814658254187j),(8.169704802824475e-05-0.00017967842331013888j),(0.09181578499025005-0.045065951726600856j),(0.9882900227139753-0.1122884297988458j),(7.999048087165882e-05-0.00018093313750098687j),(0.002529140240112286+0.002155130211464185j),(0.6922895296495761-0.7109958632593683j),(-0.09183542663920731+0.045066387513692345j),(-0.09183542663920731+0.045066387513692345j),(0.6922895296495761-0.7109958632593683j),(0.002529140240112286+0.002155130211464185j),(7.999048087165882e-05-0.00018093313750098687j),(0.9882900227139753-0.1122884297988458j),(0.09181578499025005-0.045065951726600856j),(8.169704802824475e-05-0.00017967842331013888j),(0.00010525540968320008+0.0002701814658254187j),1.5705360078921409
57,(7.739796100026331e-05+0.00018019782141047072j),(0.00012893771985337987-0.00011335960369997372j),(0.09826559151205874-0.027055279663361576j),(0.9941314272479749+0.03275527446107425j),(0.00012731635323130855-0.00011461820977363063j),(0.0015370231066674333+0.0016867138096955411j),(0.8358795331451206-0.5362671818760965j),(-0.09827288319698585+0.027059375123381038j),(-0.09827288319698585+0.027059375123381038j),(0.8358795331451206-0.5362671818760965j),(0.0015370231066674333+0.0016867138096955411j),(0.00012731635323130855-0.00011461820977363063j),(0.9941314272479749+0.03275527446107425j),(0.09826559151205874-0.027055279663361576j),(0.00012893771985337987-0.00011335960369997372j),(7.739796100026331e-05+0.00018019782141047072j),1.570019723865878
58,(-8.43782961748177e-05+0.00021385241848253424j),(0.00014225073685093074-3.631006961086304e-05j),(0.10130868041984152-0.00833629561416027j),(0.9792583479652136+0.17628381749629024j),(0.00014069869072160017-3.7708276381524036e-05j),(0.000686613033459807+0.0009197196321189483j),(0.9349411604020645-0.33329225537668106j),(-0.10131708301935789+0.00832977086057515j),(-0.10131708301935789+0.00832977086057515j),(0.9349411604020645-0.33329225537668106j),(0.000686613033459807+0.0009197196321189483j),(0.00014069869072160017-3.7708276381524036e-05j),(0.9792583479652136+0.17628381749629024j),(0.10130868041984152-0.00833629561416027j),(0.00014225073685093074-3.631006961086304e-05j),(-8.43782961748177e-05+0.00021385241848253424j),1.5695037791652975
59,(-4.811998294237859e-05+0.00016441858629070833j),(0.00012069806782009058+3.501187025884485e-05j),(0.10068994089319007+0.010599342837913793j),(0.9428608847521318+0.31654032211568156j),(0.00011916151247907272+3.35943177944355e-05j),(0.0004111845597915043+8.86182100202546e-05j),(0.9865183040284716-0.11240924244101856j),(-0.10070783023007304-0.010602967850698912j),(-0.10070783023007304-0.010602967850698912j),(0.9865183040284716-0.11240924244101856j),(0.0004111845597915043+8.86182100202546e-05j),(0.00011916151247907272+3.35943177944355e-05j),(0.9428608847521318+0.31654032211568156j),(0.10068994089319007+0.010599342837913793j),(0.00012069806782009058+3.501187025884485e-05j),(-4.811998294237859e-05+0.00016441858629070833j),1.5689881734559792
60,(-0.00013381422218005086+2.4075740811608074e-05j),(6.940764510824511e-05+8.74236546644713e-05j),(0.09669387793395244+0.029100392941021895j),(0.8873349205020253+0.45036234056003205j),(6.800494728913684e-05+8.594300577577892e-05j),(0.0005180776670701528-0.0008810632500497695j),(0.9865534597977292+0.11323604519331038j),(-0.09670047963283569-0.02910119207891469j),(-0.09670047963283569-0.02910119207891469j),(0.9865534597977292+0.11323604519331038j),(0.0005180776670701528-0.0008810632500497695j),(6.800494728913684e-05+8.594300577577892e-05j),(0.8873349205020253+0.45036234056003205j),(0.09669387793395244+0.029100392941021895j),(6.940764510824511e-05+8.74236546644713e-05j),(-0.00013381422218005086+2.4075740811608074e-05j),1.568472906403941
61,(-0.00015631854696164635+3.8068143256836734e-05j),(5.403900140590448e-07+0.00011002593569740795j),(0.08931748570950312+0.046345001186959923j),(0.8125874921746661+0.5739027036433187j),(-8.614833721032297e-07+0.00010843918914903709j),(0.0008700671501773809-0.0014757509419454815j),(0.9347826374792982+0.3340141920518438j),(-0.08932450032002079-0.046359702580976485j),(-0.08932450032002079-0.046359702580976485j),(0.9347826374792982+0.3340141920518438j),(0.0008700671501773809-0.0014757509419454815j),(-8.614833721032297e-07+0.00010843918914903709j),(0.8125874921746661+0.5739027036433187j),(0.08931748570950312+0.046345001186959923j),(5.403900140590448e-07+0.00011002593569740795j),(-0.00015631854696164635+3.8068143256836734e-05j),1.56795797767564
62,(-7.12933450649087e-05-8.551161417626687e-05j),(-7.248297139934052e-05+9.710894832447311e-05j),(0.07882064727036832+0.061987126504556934j),(0.7203820823411803+0.686152320964106j),(-7.381150553821828e-05+9.55489388977074e-05j),(0.001591907082814531-0.001773353404492344j),(0.8354908668096225+0.5371939886636651j),(-0.0788351052179975-0.061995059890526234j),(-0.0788351052179975-0.061995059890526234j),(0.8354908668096225+0.5371939886636651j),(0.001591907082814531-0.001773353404492344j),(-7.381150553821828e-05+9.55489388977074e-05j),(0.7203820823411803+0.686152320964106j),(0.07882064727036832+0.061987126504556934j),(-7.248297139934052e-05+9.710894832447311e-05j),(-7.12933450649087e-05-8.551161417626687e-05j),1.5674433869379718
63,(-0.00012330373344524666-0.00016456089513161467j),(-0.00013399264297669477+5.1081667391732307e-05j),(0.0657793274360924+0.07533409979247108j),(0.6136668515336453+0.7834504611893552j),(-0.00013518504470977127+4.939828428775731e-05j),(0.0021625338187825096-0.0017942308834856609j),(0.6918501276451782+0.7119685231834645j),(-0.06577919158720928-0.07534064590835503j),(-0.06577919158720928-0.07534064590835503j),(0.6918501276451782+0.7119685231834645j),(0.0021625338187825096-0.0017942308834856609j),(-0.00013518504470977127+4.939828428775731e-05j),(0.6136668515336453+0.7834504611893552j),(0.0657793274360924+0.07533409979247108j),(-0.00013399264297669477+5.1081667391732307e-05j),(-0.00012330373344524666-0.00016456089513161467j),1.5669291338582678
64,(-2.2943447010869618e-05-0.00014362145845290728j),(-0.00016973475095226348-2.159708043115025e-05j),(0.0504149177907738+0.08590711976652286j),(0.49307974272389554+0.8639381737918673j),(-0.00017094576330150245-2.3327728855357245e-05j),(0.0025962990237956007-0.0013146576817494658j),(0.5125084093944045+0.8507585210803812j),(-0.05041754979523529-0.08592688871414626j),(-0.05041754979523529-0.08592688871414626j),(0.5125084093944045+0.8507585210803812j),(0.0025962990237956007-0.0013146576817494658j),(-0.00017094576330150245-2.3327728855357245e-05j),(0.49307974272389554+0.8639381737918673j),(0.0504149177907738+0.08590711976652286j),(-0.00016973475095226348-2.159708043115025e-05j),(-2.2943447010869618e-05-0.00014362145845290728j),1.5664152181042965
65,(5.713769395442367e-05-0.00026174475315084817j),(-0.000171364839629132-0.00010811339143866902j),(0.033427315544252705+0.09355529581812139j),(0.3624730513024968+0.9268991802979284j),(-0.00017244060646715804-0.00010979654070576313j),(0.0028165120304664043-0.0007990552208267727j),(0.3069672039706489+0.9444665273196893j),(-0.033434507622812214-0.09356411153210777j),(-0.033434507622812214-0.09356411153210777j),(0.3069672039706489+0.9444665273196893j),(0.0028165120304664043-0.0007990552208267727j),(-0.00017244060646715804-0.00010979654070576313j),(0.3624730513024968+0.9268991802979284j),(0.033427315544252705+0.09355529581812139j),(-0.000171364839629132-0.00010811339143866902j),(5.713769395442367e-05-0.00026174475315084817j),1.5659016393442624
66,(6.005932357929259e-05-0.0002442675841827154j),(-0.00013419800500364843-0.0001922755348171438j),(0.015457913679930158+0.09778403929336894j),(0.22436920735738738+0.9693549705278983j),(-0.00013518562257048167-0.00019408245418041706j),(0.0024855224078188663-0.00023445392102880566j),(0.08449891506988998+0.9893941801937519j),(-0.015446843915821988-0.09779314194930705j),(-0.015446843915821988-0.09779314194930705j),(0.08449891506988998+0.9893941801937519j),(0.0024855224078188663-0.00023445392102880566j),(-0.00013518562257048167-0.00019408245418041706j),(0.22436920735738738+0.9693549705278983j),(0.015457913679930158+0.09778403929336894j),(-0.00013419800500364843-0.0001922755348171438j),(6.005932357929259e-05-0.0002442675841827154j),1.5653883972468046
67,(0.0002499188310560869-0.00018374192386258722j),(-6.13711149325945e-05-0.0002593018735467919j),(-0.0030668992521410655+0.09860793393904446j),(0.08076296429731775+0.9916934526757526j),(-6.238618027340002e-05-0.00026110048637275956j),(0.001965946618048993+0.000249710881154395j),(-0.14152564385204877+0.9832919479799684j),(0.003067963318775648-0.09862377793786976j),(0.003067963318775648-0.09862377793786976j),(-0.14152564385204877+0.9832919479799684j),(0.001965946618048993+0.000249710881154395j),(-6.238618027340002e-05-0.00026110048637275956j),(0.08076296429731775+0.9916934526757526j),(-0.0030668992521410655+0.09860793393904446j),(-6.13711149325945e-05-0.0002593018735467919j),(0.0002499188310560869-0.00018374192386258722j),1.5648754914809964
68,(0.00022933859170668245-0.00021577959366281144j),(3.723614526141035e-05-0.00029458450087734695j),(-0.021256919277001015+0.0960700345546917j),(-0.06371734726422669+0.9933136870997441j),(3.637121546265489e-05-0.00029638510875397894j),(0.0011834041227401664+0.00021659677855968547j),(-0.3605844100523894+0.9251496812181385j),(0.02125618676536569-0.09607517636140772j),(0.02125618676536569-0.09607517636140772j),(-0.3605844100523894+0.9251496812181385j),(0.0011834041227401664+0.00021659677855968547j),(3.637121546265489e-05-0.00029638510875397894j),(-0.06371734726422669+0.9933136870997441j),(-0.021256919277001015+0.0960700345546917j),(3.723614526141035e-05-0.00029458450087734695j),(0.00022933859170668245-0.00021577959366281144j),1.5643629217163446
