["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",2.45374e-12)
(202, 3)
1.8994388147152428e+14 1.5115789804249087e-04 -2.7840643099607902e+01
1.9000665208668341e+14 2.0648920120147304e-04 -2.8777859315720544e+01
1.9006942270184253e+14 1.5513908380688840e-04 -2.8975775231042739e+01
1.9013219331700169e+14 2.7071725860600392e-04 -2.9744869161233098e+01
1.9019496393216081e+14 2.1044170805633246e-04 -3.0458114668995609e+01
1.9025773454731994e+14 3.1600866521411079e-04 -3.0946914630761214e+01
1.9032050516247906e+14 3.0467457248426085e-04 -3.1928285750679009e+01
1.9038327577763819e+14 3.1541396861679832e-04 -3.2359974950841618e+01
1.9044604639279731e+14 3.8363161551420731e-04 -3.3307612299990573e+01
1.9050881700795644e+14 3.0499001338806176e-04 -3.3966787040510852e+01
1.9057158762311556e+14 3.9449701070156648e-04 -3.4665228337630495e+01
1.9063435823827472e+14 3.2597746929597841e-04 -3.5595668553669569e+01
1.9069712885343384e+14 3.3206177982498896e-04 -3.6072840313060787e+01
1.9075989946859297e+14 3.4061759355505372e-04 -3.7063272147177031e+01
1.9082267008375209e+14 2.4179255102071981e-04 -3.7615340518188283e+01
1.9088544069891122e+14 2.8995986919425624e-04 -3.8384732954609866e+01
1.9094821131407034e+14 1.9611654496262722e-04 -3.9386693109501323e+01
1.9101098192922947e+14 2.2989683285376989e-04 -3.9572947866029757e+01
1.9107375254438859e+14 1.7131551090374131e-04 -4.0631797839981672e+01
1.9113652315954775e+14 1.3596281606851097e-04 -4.0491487919907939e+01
1.9119929377470688e+14 1.6088713949605630e-04 -4.1520108180986654e+01
1.9126206438986600e+14 1.1133273197750457e-04 -4.1373158594263330e+01
1.9132483500502512e+14 2.0563097745246147e-04 -4.2288989697019751e+01
1.9138760562018425e+14 1.4544251472276169e-04 -4.2772109994189471e+01
1.9145037623534338e+14 2.6790862597614849e-04 -4.3366530685645884e+01
1.9151314685050250e+14 2.5154278966263796e-04 -4.4308117412329324e+01
1.9157591746566162e+14 3.1019432087187819e-04 -4.4580135065941853e+01
1.9163868808082078e+14 3.1489208101711993e-04 -4.5668870816071554e+01
1.9170145869597991e+14 2.7554601853038073e-04 -4.6181202712654020e+01
1.9176422931113903e+14 3.7082660928553385e-04 -4.7050816388089473e+01
1.9182699992629816e+14 2.8663309448379010e-04 -4.7890689513789447e+01
1.9188977054145728e+14 3.4583294110439392e-04 -4.8437529142133698e+01
1.9195254115661641e+14 3.2227115399912444e-04 -4.9463875628940350e+01
1.9201531177177553e+14 2.6693091701544770e-04 -4.9931781775656177e+01
1.9207808238693466e+14 3.1766209749627459e-04 -5.0847482105838708e+01
1.9214085300209381e+14 1.9845616673280065e-04 -5.1621467580730240e+01
1.9220362361725294e+14 2.5774533057954722e-04 -5.2125328554574381e+01
1.9226639423241206e+14 1.8141219846620334e-04 -5.3166751362625995e+01
1.9232916484757119e+14 1.6166236576679890e-04 -5.3227585269249914e+01
1.9239193546273031e+14 1.6430572919186280e-04 -5.4311256486241234e+01
1.9245470607788944e+14 9.9905719319405973e-05 -5.4141045972564569e+01
1.9251747669304856e+14 1.7244938746765380e-04 -5.5072844929505273e+01
1.9258024730820769e+14 1.0568192560746815e-04 -5.5292310315859652e+01
1.9264301792336684e+14 2.2673898665076034e-04 -5.5960986809653157e+01
1.9270578853852597e+14 1.7157763747421330e-04 -5.6768114900161272e+01
1.9276855915368509e+14 2.6043420406377953e-04 -5.7168473669520566e+01
1.9283132976884422e+14 2.7637619046723459e-04 -5.8224846103871400e+01
1.9289410038400334e+14 2.6594184101612752e-04 -5.8654406127751635e+01
1.9295687099916247e+14 3.5655079549081690e-04 -5.9586290637287121e+01
1.9301964161432159e+14 2.8014225331499478e-04 -6.0341146785853148e+01
1.9308241222948072e+14 3.6598386388221160e-04 -6.0965930609857892e+01
1.9314518284463988e+14 3.2980965145023206e-04 -6.1969579522466006e+01
1.9320795345979900e+14 3.0657150108983640e-04 -6.2466003884523822e+01
1.9327072407495812e+14 3.7869016613113879e-04 -6.3458214829480241e+01
1.9333349469011725e+14 2.7293375878541899e-04 -6.4036804478234458e+01
1.9339626530527638e+14 3.2529781253425104e-04 -6.4735326996372635e+01
1.9345903592043550e+14 2.3477850259613587e-04 -6.5688966651324534e+01
1.9352180653559462e+14 2.2854092593988301e-04 -6.6020808877134158e+01
1.9358457715075375e+14 2.1408421411215638e-04 -6.7065031435031599e+01
1.9359660086208747e+14 2.2619112047341487e-04 -6.7075930804184964e+01
1.9363532405457916e+14 1.6388519688749742e-04 -6.7075930804184964e+01
1.9364734776591291e+14 1.3007190383828766e-04 -6.7223084749042727e+01
1.9371011838107203e+14 1.8088434817759090e-04 -6.8038152320187777e+01
1.9377288899623116e+14 9.4425829362160794e-05 -6.8132148010254866e+01
1.9383565961139028e+14 1.6133098476543351e-04 -6.8620364438120703e+01
1.9389843022654941e+14 1.0531765202297678e-04 -6.9584808176560301e+01
1.9396120084170853e+14 2.1470711256684486e-04 -6.9749694004878663e+01
1.9402397145686766e+14 2.1554470074179835e-04 -7.0801130017960503e+01
1.9408674207202678e+14 2.4045677024521833e-04 -7.1090839014303796e+01
1.9414951268718594e+14 3.1954522509205721e-04 -7.2088749366111529e+01
1.9421228330234506e+14 2.6053961836601313e-04 -7.2708410807838604e+01
1.9427505391750419e+14 3.6781443664520583e-04 -7.3424715401405379e+01
1.9433782453266331e+14 3.2422012100750735e-04 -7.4384332157119019e+01
1.9440059514782244e+14 3.6920266823383329e-04 -7.4830213935490448e+01
1.9446336576298156e+14 3.7628973098399889e-04 -7.5808154782690650e+01
1.9452613637814069e+14 3.0264402390362878e-04 -7.6377096569731847e+01
1.9458890699329981e+14 3.7301943072118733e-04 -7.7180816158666246e+01
1.9465167760845897e+14 2.6957037647410721e-04 -7.8019223696961959e+01
1.9471444822361809e+14 3.0111502511578924e-04 -7.8489109141980549e+01
1.9477721883877722e+14 2.5888566742041888e-04 -7.9496145341332223e+01
1.9483998945393634e+14 1.9921917610953618e-04 -7.9764627858791172e+01
1.9490276006909547e+14 2.2825509188003086e-04 -8.0666990164465858e+01
1.9496553068425459e+14 1.2292548867654261e-04 -8.1013581803519813e+01
1.9502830129941372e+14 2.0554518792871598e-04 -8.1547579228058495e+01
1.9509107191457284e+14 1.2440444247291228e-04 -8.2152561190783743e+01
1.9515384252973200e+14 2.2595948060462906e-04 -8.2408155158904265e+01
1.9521661314489112e+14 2.0113775677706351e-04 -8.3326475419949688e+01
1.9527938376005025e+14 2.5728263329829885e-04 -8.3578444029881908e+01
1.9534215437520938e+14 3.1103069698915076e-04 -8.4568957170358843e+01
1.9540492499036850e+14 2.7713102954617021e-04 -8.5033699836914309e+01
1.9546769560552762e+14 3.8350014293097527e-04 -8.5868482537998602e+01
1.9553046622068675e+14 3.1993181356152693e-04 -8.6671122566655654e+01
1.9559323683584588e+14 3.9611382621824618e-04 -8.7235229019610856e+01
1.9565600745100503e+14 3.8490573974081879e-04 -8.8200966737146956e+01
1.9571877806616416e+14 3.5091803577544497e-04 -8.8716299917894929e+01
1.9578154868132328e+14 4.1155122969722708e-04 -8.9605522771284271e+01
1.9584431929648241e+14 3.0222109869675572e-04 -9.0340056052039316e+01
1.9590708991164153e+14 3.7752809871269012e-04 -9.0978787969181724e+01
1.9596986052680066e+14 3.0692550198974447e-04 -9.1848996761174206e+01
1.9603263114195978e+14 2.7484569763644521e-04 -9.2233511122005510e+01
1.9609540175711891e+14 2.7654667769641495e-04 -9.3173882744078483e+01
1.9615817237227806e+14 1.7629411278998947e-04 -9.3522052068777697e+01
1.9622094298743719e+14 2.3773759140268319e-04 -9.4205113808765915e+01
1.9628371360259631e+14 1.3579067836098300e-04 -9.4710425802992404e+01
1.9634648421775544e+14 2.3645724566170078e-04 -9.5008728380371352e+01
1.9640925483291456e+14 1.5746096708668902e-04 -9.5706653863940218e+01
1.9647202544807369e+14 2.3263988649948478e-04 -9.6065184153707904e+01
1.9653479606323281e+14 2.6369810374125434e-04 -9.7038214472320817e+01
1.9659756667839194e+14 2.6710750578052899e-04 -9.7411094151972023e+01
1.9666033729355109e+14 3.6140997986282861e-04 -9.8297122106964892e+01
1.9672310790871022e+14 3.0264849352874883e-04 -9.8979545908784203e+01
1.9678587852386934e+14 4.0199387754640415e-04 -9.9628693600907695e+01
1.9684864913902847e+14 3.7806207754682890e-04 -1.0057604967228454e+02
1.9691141975418759e+14 4.0534687015913968e-04 -1.0102479042467581e+02
1.9697419036934672e+14 4.1830805137112696e-04 -1.0195449320006371e+02
1.9703696098450584e+14 3.3742463815622894e-04 -1.0256828894741055e+02
1.9709973159966500e+14 4.0370739662517016e-04 -1.0332324283436716e+02
1.9716250221482412e+14 3.0698552699445276e-04 -1.0417352383824699e+02
1.9722527282998325e+14 3.2328756789248489e-04 -1.0464907756635120e+02
1.9728804344514238e+14 2.9077579316602088e-04 -1.0561684425850865e+02
1.9735081406030150e+14 2.1750622270485755e-04 -1.0596596517134816e+02
1.9741358467546062e+14 2.5469699070682105e-04 -1.0679559655752917e+02
1.9747635529061975e+14 1.4535169221595109e-04 -1.0724520093910535e+02
1.9753912590577888e+14 2.2150328943391925e-04 -1.0770353860560489e+02
1.9760189652093800e+14 1.4609742178609418e-04 -1.0838257285870314e+02
1.9766466713609716e+14 2.3182989462996280e-04 -1.0859011207918306e+02
1.9772743775125628e+14 2.1955760203132521e-04 -1.0950814453948141e+02
1.9779020836641541e+14 2.5753353311072896e-04 -1.0977224230395265e+02
1.9785297898157453e+14 3.2129857329228975e-04 -1.1072477038202310e+02
1.9791574959673366e+14 2.8172676293636295e-04 -1.1124928217758099e+02
1.9797852021189278e+14 3.9110188665473047e-04 -1.1201342980574296e+02
1.9804129082705191e+14 3.3283608144588826e-04 -1.1284110287488535e+02
1.9810406144221106e+14 3.9544818078054170e-04 -1.1338650955321908e+02
1.9816683205737019e+14 3.9601131395007729e-04 -1.1434263280183838e+02
1.9822960267252931e+14 3.5102611157554389e-04 -1.1488512769401918e+02
1.9829237328768844e+14 4.1482921192051669e-04 -1.1573593863737730e+02
1.9835514390284756e+14 3.1310511418900465e-04 -1.1649383252626609e+02
1.9841791451800669e+14 3.6172613662704267e-04 -1.1707691803393108e+02
1.9848068513316581e+14 3.0025869378001849e-04 -1.1802943479282528e+02
1.9854345574832494e+14 2.6041780064386060e-04 -1.1841157547846058e+02
1.9860622636348406e+14 2.7375845692711174e-04 -1.1933802487486851e+02
1.9866899697864322e+14 1.6667578100630509e-04 -1.1975683854072764e+02
1.9873176759380234e+14 2.2718938436767176e-04 -1.2037275522855232e+02
1.9879453820896147e+14 1.3001017545427571e-04 -1.2099456095053708e+02
1.9885730882412059e+14 2.0946147487451396e-04 -1.2120839339761902e+02
1.9892007943927972e+14 1.6980492924549442e-04 -1.2205981584812889e+02
1.9898285005443884e+14 2.3037207999350451e-04 -1.2222444616261238e+02
1.9904562066959797e+14 2.6430662942755030e-04 -1.2320260978427024e+02
1.9910839128475712e+14 2.5413389516509898e-04 -1.2358634902287160e+02
1.9917116189991625e+14 3.5324050872506657e-04 -1.2444858452142917e+02
1.9923393251507538e+14 2.9474836370901858e-04 -1.2516690325246945e+02
1.9929670313023450e+14 3.8752969023772392e-04 -1.2578098952814308e+02
1.9935947374539362e+14 3.6315484751501403e-04 -1.2671634107499030e+02
1.9942224436055275e+14 3.6199620576529262e-04 -1.2723049341082017e+02
1.9948501497571188e+14 4.0990846599553898e-04 -1.2814678911429968e+02
1.9954778559087100e+14 3.2260588800956048e-04 -1.2882084984608741e+02
1.9961055620603012e+14 3.8898004822430972e-04 -1.2950828199625366e+02
1.9967332682118928e+14 3.1079158089680178e-04 -1.3042044236043645e+02
1.9973609743634841e+14 3.0277749932009542e-04 -1.3086026429600946e+02
1.9979886805150753e+14 2.9887760978677670e-04 -1.3183520583378979e+02
1.9986163866666666e+14 1.9839543724590057e-04 -1.3225134706644101e+02
("o1","mode 1",1,"o2",1,"transmission",8.7278004638659768e-13)
(202, 3)
1.8737028625000000e+14 2.5827077035449255e-04 -2.5422092076773670e+00
1.8743305686515912e+14 2.1365601367416871e-04 -2.5433798036693922e+00
1.8749582748031825e+14 1.6730977908834490e-04 -2.5283167570056748e+00
1.8755859809547738e+14 1.1883271987818563e-04 -2.4675980318346271e+00
1.8762136871063653e+14 7.2359420525900455e-05 -2.2748312713707413e+00
1.8768413932579566e+14 3.8277084535463048e-05 -1.5289804453967533e+00
1.8774690994095478e+14 5.7376802037488887e-05 -4.5892766300253152e-01
1.8780968055611391e+14 1.0265381700291013e-04 -1.4858606517895870e-01
1.8787245117127303e+14 1.5249004908085337e-04 -5.8890819155384994e-02
1.8793522178643216e+14 2.0141195420513971e-04 -3.0169549617808836e-02
1.8799799240159128e+14 2.4984259805152493e-04 -2.5655920731774317e-02
1.8806076301675041e+14 2.9557631499353579e-04 -3.5642812160903023e-02
1.8812353363190956e+14 3.3905268341485813e-04 -5.0008577875766097e-02
1.8818630424706869e+14 3.7942191856281084e-04 -7.1164747218870936e-02
1.8824907486222781e+14 4.1582827370972386e-04 -9.2910699075018338e-02
1.8831184547738694e+14 4.4900766667755818e-04 -1.1766778999896059e-01
1.8837461609254606e+14 4.7697470208882422e-04 -1.4322352231919461e-01
1.8843738670770519e+14 5.0118891026735527e-04 -1.6872108194642563e-01
1.8850015732286431e+14 5.1994684670237257e-04 -1.9585457877779067e-01
1.8856292793802344e+14 5.3381204242670293e-04 -2.2114343522505295e-01
1.8862569855318259e+14 5.4276647723705573e-04 -2.4760285496147394e-01
1.8868846916834172e+14 5.4582090041703133e-04 -2.7210891969225742e-01
1.8875123978350084e+14 5.4443963336062130e-04 -2.9579722310272888e-01
