["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",1.30759e-12)
(202, 3)
1.9301964161432159e+14 2.3208411548307500e-04 -1.5152756150080712e+01
1.9308241222948072e+14 3.1843886575988424e-04 -1.5300082769826673e+01
1.9314518284463988e+14 3.0689566754424217e-04 -1.5786213381833520e+01
1.9320795345979900e+14 3.2500615084102150e-04 -1.5849384706504596e+01
1.9327072407495812e+14 3.7417952156464427e-04 -1.6318049616737753e+01
1.9333349469011725e+14 3.1350524774903819e-04 -1.6530051811288558e+01
1.9339626530527638e+14 3.8166918130723470e-04 -1.6804345519194211e+01
1.9345903592043550e+14 3.1635792594458719e-04 -1.7234513505560717e+01
1.9352180653559462e+14 3.2017043036726385e-04 -1.7303624614137956e+01
1.9358457715075375e+14 3.1007269863717431e-04 -1.7874088458276965e+01
1.9359660086208747e+14 3.2584901858869711e-04 -1.7875729739783782e+01
1.9363532405457916e+14 2.8901446679479036e-04 -1.7875729739783782e+01
1.9364734776591291e+14 2.6917277580880726e-04 -1.7950940843154335e+01
1.9371011838107203e+14 2.9079163158620048e-04 -1.8169763959692553e+01
1.9377288899623116e+14 1.9222933923967892e-04 -1.8440618137140074e+01
1.9383565961139028e+14 2.1590817904074171e-04 -1.8363817455805442e+01
1.9389843022654941e+14 1.6242564482295149e-04 -1.8740477931275677e+01
1.9396120084170853e+14 1.7349982459725723e-04 -1.8350910687388406e+01
1.9402397145686766e+14 1.8965276192625042e-04 -1.8736633860015843e+01
1.9408674207202678e+14 1.9630330935580480e-04 -1.8503952359458054e+01
1.9414951268718594e+14 2.8744573184208964e-04 -1.8746854285051391e+01
1.9421228330234506e+14 2.1332937948359025e-04 -1.8801694561754367e+01
1.9427505391750419e+14 3.2470596640623195e-04 -1.9142622606005595e+01
1.9433782453266331e+14 2.9406123992410519e-04 -1.9526241696649127e+01
1.9440059514782244e+14 3.5679955736928466e-04 -1.9610506647412304e+01
1.9446336576298156e+14 3.7950790263558667e-04 -2.0090686606726948e+01
1.9452613637814069e+14 3.4930298532881681e-04 -2.0218384170435833e+01
1.9458890699329981e+14 4.1842879911006614e-04 -2.0587781417156265e+01
1.9465167760845897e+14 3.3762711312857081e-04 -2.0934164035476758e+01
1.9471444822361809e+14 4.0169984707432316e-04 -2.1122963385455549e+01
1.9477721883877722e+14 3.6618311702313523e-04 -2.1520490717875859e+01
1.9483998945393634e+14 3.2001325975836994e-04 -2.1598178810350724e+01
1.9490276006909547e+14 3.3653109125219980e-04 -2.1992328586946904e+01
1.9496553068425459e+14 2.3746108837504758e-04 -2.2161579705117123e+01
1.9502830129941372e+14 2.7156705868689747e-04 -2.2298992445034781e+01
1.9509107191457284e+14 1.8788170349831943e-04 -2.2629447796066547e+01
1.9515384252973200e+14 2.0446905175265333e-04 -2.2402883045379816e+01
1.9521661314489112e+14 1.8251362177826498e-04 -2.2766597100081203e+01
1.9527938376005025e+14 1.8437473989178668e-04 -2.2400881131992243e+01
1.9534215437520938e+14 2.3067546043084453e-04 -2.2807145151768623e+01
1.9540492499036850e+14 2.1266190462451834e-04 -2.2714710602585072e+01
1.9546769560552762e+14 3.0972126876315328e-04 -2.3021385563279175e+01
1.9553046622068675e+14 2.7368269425798083e-04 -2.3272651179586575e+01
1.9559323683584588e+14 3.6049339969283247e-04 -2.3405099170227068e+01
1.9565600745100503e+14 3.5601102610700517e-04 -2.3846954017383858e+01
1.9571877806616416e+14 3.7046632025946517e-04 -2.3928322023561012e+01
1.9578154868132328e+14 4.1465055462459161e-04 -2.4340584301659877e+01
1.9584431929648241e+14 3.5246855663888032e-04 -2.4574468781619750e+01
1.9590708991164153e+14 4.1421532762714482e-04 -2.4829315144240926e+01
1.9596986052680066e+14 3.5263726135606802e-04 -2.5234618048499467e+01
1.9603263114195978e+14 3.5235890594928639e-04 -2.5322693694069784e+01
1.9609540175711891e+14 3.4170517569222274e-04 -2.5773973516696607e+01
1.9615817237227806e+14 2.6115199524692263e-04 -2.5853637657855050e+01
1.9622094298743719e+14 2.8159641440785065e-04 -2.6192367311266736e+01
1.9628371360259631e+14 2.0953578711440017e-04 -2.6489291211053274e+01
1.9634648421775544e+14 2.3437079482968774e-04 -2.6349753267673819e+01
1.9640925483291456e+14 1.7833732793277730e-04 -2.6709123650319334e+01
1.9647202544807369e+14 1.9133549947248569e-04 -2.6350617706989134e+01
1.9653479606323281e+14 2.0601142295874835e-04 -2.6744383665923376e+01
1.9659756667839194e+14 2.0682107327635061e-04 -2.6516010608010561e+01
1.9666033729355109e+14 2.8799895403153376e-04 -2.6899725022719139e+01
1.9672310790871022e+14 2.7802121349227869e-04 -2.6943918906343150e+01
1.9678587852386934e+14 3.4382053940275120e-04 -2.7107762294594963e+01
1.9684864913902847e+14 3.1443882060984489e-04 -2.7555878064282599e+01
1.9691141975418759e+14 3.6360103291834184e-04 -2.7639221513706200e+01
1.9697419036934672e+14 3.9282633361154544e-04 -2.8109034510406691e+01
1.9703696098450584e+14 3.5264636611661925e-04 -2.8257372164751644e+01
1.9709973159966500e+14 4.2085418505839750e-04 -2.8606035628984472e+01
1.9716250221482412e+14 3.3835067403962735e-04 -2.8976421629437446e+01
1.9722527282998325e+14 4.0042099913085267e-04 -2.9160850872010702e+01
1.9728804344514238e+14 3.6883606506254741e-04 -2.9533565691432567e+01
1.9735081406030150e+14 3.1087311330935932e-04 -2.9621887430552583e+01
1.9741358467546062e+14 3.2735839611610084e-04 -2.9995660806664400e+01
1.9747635529061975e+14 2.2610618532782549e-04 -3.0185185362910921e+01
1.9753912590577888e+14 2.5629102269839028e-04 -3.0286684121194739e+01
1.9760189652093800e+14 1.7599017170548073e-04 -3.0631003811866243e+01
1.9766466713609716e+14 1.8934259736429036e-04 -3.0357783903776120e+01
1.9772743775125628e+14 1.7162954473068227e-04 -3.0744601655611010e+01
1.9779020836641541e+14 1.7702752404290693e-04 -3.0374799169389512e+01
1.9785297898157453e+14 2.2789794776496535e-04 -3.0776816099966446e+01
1.9791574959673366e+14 2.0926117460210217e-04 -3.0713681974339039e+01
